popularity,vote_count,release_year,cluster
7.324,334,1956,2
14.008,306,2022,0
54.614,2381,2017,0
36.678,3648,1978,2
74.604,5565,1995,0
17.31,1369,2014,0
7.7,983,2017,0
37.91,324,2020,0
313.018,5286,1941,1
58.652,6455,2009,0
17.486,838,1945,2
45.795,2149,2019,0
12.775,369,2017,0
86.05,7526,2019,1
80.601,16532,2014,1
46.509,2681,1975,2
64.779,2830,2010,0
21.926,1515,1925,2
24.171,2414,2009,0
20.66,747,1928,2
102.981,2842,1962,2
42.343,2488,1962,2
25.141,1666,2012,0
18.77,875,1928,2
14.748,381,1949,2
30.745,1105,2007,0
23.543,631,2004,0
54.558,11904,2019,1
36.6,10372,2008,1
20.237,551,1978,2
38.358,1678,1994,0
27.51,958,2011,0
45.66,2262,2009,0
208.026,16440,2018,1
11.82,642,2009,0
25.685,495,1975,2
93.903,1088,2022,0
20.408,719,1957,2
235.267,2476,2023,1
114.352,3907,1959,2
26.474,1430,1982,2
26.643,891,1975,2
47.982,3992,1986,2
18.767,383,1955,2
91.677,15092,2002,1
24.302,300,2022,0
14.451,535,1953,2
21.545,1130,1948,2
245.937,6683,2021,1
165.9,6213,2023,1
276.464,17810,1995,1
25.257,479,2004,0
69.057,3930,1995,0
73.844,16806,2003,1
24.07,996,2017,0
56.212,9342,1996,1
241.586,19328,2021,1
27.483,1421,2015,0
38.178,839,2019,0
14.568,320,2022,0
20.548,588,1969,2
56.051,351,2019,0
36.189,611,1948,2
182.869,1166,1926,2
9.237,313,1999,0
8.673,2013,1997,0
15.741,418,2009,0
172.856,19575,2009,1
45.028,2539,1948,2
56.024,3871,1939,2
13.903,333,1973,2
80.997,9233,2004,1
108.612,11233,1999,1
82.405,540,2023,0
19.259,347,1957,2
25.555,575,1958,2
18.714,505,2018,0
130.324,4002,1988,2
9.905,922,2014,0
28.769,1715,2014,0
54.802,15745,1993,1
87.382,2085,2021,0
36.82,2421,1963,2
16.708,1490,1920,2
39.78,10962,2013,1
14.499,566,1962,2
53.512,5337,1999,0
93.158,9746,1995,1
117.3,934,2023,0
26.897,782,1957,2
15.671,623,1962,2
84.746,11490,2007,1
113.105,9180,1986,1
49.549,3390,1984,2
25.079,986,1962,2
22.609,411,2013,0
91.918,4140,1980,2
50.861,1888,1995,0
19.503,530,1993,2
77.715,13305,1982,1
26.951,493,1952,2
33.683,1103,1994,0
20.31,666,1991,2
20.117,491,1956,2
21.708,384,2019,0
27.004,630,1961,2
26.473,8254,2013,0
38.946,3215,1995,0
79.39,1755,1949,2
22.725,1699,1902,2
25.239,1488,1954,2
