popularity,vote_count
130.205,13851
55.899,2320
84.821,9868
15.832,1226
18.039,753
161.118,2328
38.395,1047
35.511,503
28.126,2201
33.569,10324
17.023,467
15.596,650
21.611,413
250.144,5605
29.577,672
131.441,11795
21.922,792
60.549,1880
51.485,1822
47.678,4035
23.424,466
52.425,4666
13.94,789
17.251,670
70.344,9744
12.255,324
21.0,398
42.346,872
52.002,4352
46.713,3993
54.26,10804
17.888,623
183.996,17846
19.344,368
26.893,504
68.431,6887
31.521,828
17.037,488
30.724,663
16.261,461
53.002,9066
57.329,2997
24.751,917
26.087,563
33.941,2824
111.213,8057
57.673,6057
29.119,763
24.194,1503
57.759,301
35.871,302
28.258,2752
28.332,1171
34.675,1984
59.131,3866
27.583,3723
13.477,521
65.501,1083
16.432,814
10.999,345
74.462,12558
9.604,448
56.125,1620
20.621,912
165.6,18677
264.897,494
25.125,612
25.319,799
62.141,5678
31.164,1554
44.978,3225
30.98,778
169.299,16422
21.328,466
17.374,324
14.938,570
91.7,5943
159.616,757
82.57,8001
412.05,18638
123.736,20047
21.125,807
30.984,578
21.021,1293
112.513,8687
69.581,1003
35.239,1784
22.028,1088
11.789,1154
14.384,301
41.387,1121
47.955,9288
50.073,2272
150.307,477
96.932,1256
14.424,323
44.509,5538
31.917,367
11.752,628
9.651,339
15.179,1340
12.978,456
132.585,19937
12.657,943
33.204,2402
39.264,3129
13.343,393
106.543,6682
33.777,3310
21.912,843
36.109,603
38.043,5161
23.484,611
15.0,473
1.645,368
89.016,14214
34.333,2168
322.807,3227
27.627,755
140.669,1609
71.585,6012
540.623,11444
44.051,10152
41.415,371
43.473,4713
44.281,364
35.342,472
21.021,987
28.024,811
12.166,1837
22.486,373
45.493,976
17.474,650
322.212,7507
32.647,3223
91.755,3742
125.244,10720
38.824,2848
25.688,1064
79.781,2219
17.743,570
26.675,675
21.899,866
33.121,953
57.163,639
318.462,11979
93.784,22053
29.616,1947
22.065,923
96.884,5387
59.349,1194
56.108,2370
104.496,317
33.797,1383
15.852,386
54.963,1359
50.739,2321
49.722,1229
22.592,1334
30.595,1539
17.222,1244
109.686,1530
24.289,464
20.47,368
92.219,2328
12.789,450
24.125,592
42.53,2416
60.087,4202
26.943,466
117.237,10181
36.363,1673
41.679,6103
57.816,12328
85.639,6943
53.992,353
113.648,18478
58.674,335
22.075,396
27.585,1245
33.029,534
374.207,4415
15.814,484
74.862,7073
29.102,437
10.285,458
52.232,1501
74.898,6099
18.155,597
53.887,13753
17.437,3635
19.07,730
118.258,3746
43.177,1036
57.769,1684
29.097,745
22.456,2910
63.218,7742
191.513,4328
231.041,15790
10.604,1097
64.534,6717
69.658,4079
45.57,1769
55.552,3928
192.416,2283
8.929,359
26.687,447
14.622,631
44.074,8450
193.947,5875
24.027,1524
64.824,6351
225.067,16483
186.904,4008
11.161,599
15.566,1335
67.172,2919
40.074,407
60.161,3570
129.874,15170
102.741,9604
28.245,2407
24.486,1522
22.138,515
107.489,1161
18.961,457
30.478,452
8.273,637
29.329,635
128.083,3406
12.867,479
15.557,590
110.975,7667
25.476,769
56.395,10260
91.258,1148
24.985,650
17.618,767
41.964,4079
29.465,1337
12.693,341
35.349,682
16.355,1308
43.888,1253
23.039,841
60.279,3117
26.602,1445
34.56,707
258.409,6277
28.437,1386
68.621,1430
39.761,831
58.91,6857
161.451,21257
57.302,2327
9.226,650
41.053,1584
27.532,1188
35.344,1011
15.323,371
97.998,12500
17.041,642
20.569,1010
58.799,2741
106.425,796
197.645,29978
21.206,560
15.466,438
22.942,851
10.232,854
31.543,2917
41.535,762
107.345,10403
48.0,1329
205.896,20306
39.776,634
19.724,937
14.771,1015
132.715,17130
28.2,1270
35.186,2038
27.2,573
9.707,374
42.305,952
15.895,386
16.79,839
31.891,1880
28.683,489
19.839,365
86.151,5924
23.674,536
19.876,350
16.332,375
15.816,629
45.147,5649
18.129,520
26.29,480
21.776,699
18.521,353
66.341,4398
123.059,18820
24.674,1243
29.7,476
67.022,1920
24.101,430
14.53,607
19.162,696
39.616,441
9.44,359
52.114,6139
30.201,765
20.55,6825
78.767,1189
465.118,9495
29.105,642
41.402,914
117.267,19160
22.607,577
106.004,14037
10.965,661
49.605,1315
15.031,304
116.898,5465
12.48,337
46.628,580
129.005,18870
28.811,1586
242.261,8363
16.784,351
19.125,639
33.525,1020
19.359,438
35.997,622
36.737,1345
59.979,2047
50.965,4364
61.996,3156
83.139,2297
34.604,1298
16.693,509
40.517,1961
21.689,446
48.913,578
6.746,434
11.534,443
43.491,1561
23.245,1967
76.632,9257
10.233,603
17.215,326
17.349,486
22.633,1718
48.499,4038
71.44,3800
14.212,562
13.937,1093
16.855,380
34.819,4898
47.29,18246
13.863,340
29.738,2941
19.84,902
17.77,466
8.363,303
88.174,10960
53.251,1437
32.129,3814
14.192,346
422.567,12481
37.242,1691
24.876,514
34.097,705
230.345,9972
34.342,550
219.29,3983
10.728,490
22.683,320
12.521,331
27.25,1595
42.741,410
21.327,582
19.17,365
27.623,654
59.381,3223
35.495,2699
32.321,2785
13.737,656
25.768,829
11.972,1611
22.887,308
98.658,3293
24.006,1050
149.692,10899
60.567,3190
33.617,446
32.046,1801
152.981,2109
83.541,4028
136.149,3575
66.148,3002
70.998,3055
128.184,4989
177.134,25680
18.208,882
29.696,1153
17.371,466
17.326,546
41.862,1174
22.824,518
34.627,374
52.236,332
15.459,356
8.498,447
45.991,1580
22.866,714
100.329,4566
39.358,3453
22.613,639
24.634,926
52.333,1056
22.261,541
87.338,16168
52.209,1029
12.12,380
40.276,1600
66.2,2479
51.74,337
42.703,413
25.254,2337
56.116,633
39.567,753
35.609,1296
8.019,653
24.826,485
12.78,329
12.769,335
33.373,999
63.239,8212
23.685,417
35.66,2544
164.85,3145
90.532,1879
38.036,319
12.455,1071
15.163,303
229.227,11223
22.429,968
253.134,16741
17.973,857
32.091,694
18.105,1102
12.531,760
13.816,592
43.84,3184
74.268,20990
207.766,9638
129.855,468
18.585,349
57.468,1034
25.094,335
30.668,2313
40.553,714
19.317,461
94.242,5124
32.965,372
91.705,812
25.933,1119
74.22,13351
66.286,1882
76.143,6237
31.295,2213
29.264,1133
33.516,1080
454.956,29802
57.86,658
25.876,1167
14.154,305
55.808,733
54.733,6808
